sample_id,image,caption,prompt,answer
0,A,1,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: standing on feet
Answer: No.

Example 2:
Image: <image>
Caption: the orange lollipop is sad and the red lollipop is surprised
Answer: Yes.

Example 3:
Image: <image>
Caption: The uncaged bird has an opened cage door
Answer: No.

Example 4:
Image: <image>
Caption: an adult kisses a child
Answer: Yes.

Example 5:
Image: <image>
Caption: An adult wearing purple lying next to a child
Answer: No.

Example 6:
Image: <image>
Caption: the water is filled with plastic
Answer: Yes.

Example 7:
Image: <image>
Caption: the skipping rope color is different to the shoelaces but similar to the shoes
Answer: No.

Example 8:
Image: <image>
Caption: the businessperson's down fall
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: an old person kisses a young person
Answer: ",Yes.
0,A,2,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: standing on feet
Answer: No.

Example 2:
Image: <image>
Caption: the orange lollipop is sad and the red lollipop is surprised
Answer: Yes.

Example 3:
Image: <image>
Caption: The uncaged bird has an opened cage door
Answer: No.

Example 4:
Image: <image>
Caption: an adult kisses a child
Answer: Yes.

Example 5:
Image: <image>
Caption: An adult wearing purple lying next to a child
Answer: No.

Example 6:
Image: <image>
Caption: the water is filled with plastic
Answer: Yes.

Example 7:
Image: <image>
Caption: the skipping rope color is different to the shoelaces but similar to the shoes
Answer: No.

Example 8:
Image: <image>
Caption: the businessperson's down fall
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: a young person kisses an old person
Answer: ",Yes.
0,B,1,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: standing on feet
Answer: No.

Example 2:
Image: <image>
Caption: the orange lollipop is sad and the red lollipop is surprised
Answer: Yes.

Example 3:
Image: <image>
Caption: The uncaged bird has an opened cage door
Answer: No.

Example 4:
Image: <image>
Caption: an adult kisses a child
Answer: Yes.

Example 5:
Image: <image>
Caption: An adult wearing purple lying next to a child
Answer: No.

Example 6:
Image: <image>
Caption: the water is filled with plastic
Answer: Yes.

Example 7:
Image: <image>
Caption: the skipping rope color is different to the shoelaces but similar to the shoes
Answer: No.

Example 8:
Image: <image>
Caption: the businessperson's down fall
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: an old person kisses a young person
Answer: ",Yes.
0,B,2,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: standing on feet
Answer: No.

Example 2:
Image: <image>
Caption: the orange lollipop is sad and the red lollipop is surprised
Answer: Yes.

Example 3:
Image: <image>
Caption: The uncaged bird has an opened cage door
Answer: No.

Example 4:
Image: <image>
Caption: an adult kisses a child
Answer: Yes.

Example 5:
Image: <image>
Caption: An adult wearing purple lying next to a child
Answer: No.

Example 6:
Image: <image>
Caption: the water is filled with plastic
Answer: Yes.

Example 7:
Image: <image>
Caption: the skipping rope color is different to the shoelaces but similar to the shoes
Answer: No.

Example 8:
Image: <image>
Caption: the businessperson's down fall
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: a young person kisses an old person
Answer: ",Yes.
1,A,1,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: living things drinking
Answer: No.

Example 2:
Image: <image>
Caption: there are more skiers than snowboarders
Answer: Yes.

Example 3:
Image: <image>
Caption: seat numbers increasing from left to right
Answer: No.

Example 4:
Image: <image>
Caption: people fall on the leaves
Answer: Yes.

Example 5:
Image: <image>
Caption: some plants surrounding a lightbulb
Answer: No.

Example 6:
Image: <image>
Caption: there's a phone on a map
Answer: Yes.

Example 7:
Image: <image>
Caption: an adult is reading to their young child
Answer: No.

Example 8:
Image: <image>
Caption: someone is in a helicopter with a car
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: the taller person hugs the shorter person
Answer: ",No.
1,A,2,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: living things drinking
Answer: No.

Example 2:
Image: <image>
Caption: there are more skiers than snowboarders
Answer: Yes.

Example 3:
Image: <image>
Caption: seat numbers increasing from left to right
Answer: No.

Example 4:
Image: <image>
Caption: people fall on the leaves
Answer: Yes.

Example 5:
Image: <image>
Caption: some plants surrounding a lightbulb
Answer: No.

Example 6:
Image: <image>
Caption: there's a phone on a map
Answer: Yes.

Example 7:
Image: <image>
Caption: an adult is reading to their young child
Answer: No.

Example 8:
Image: <image>
Caption: someone is in a helicopter with a car
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: the shorter person hugs the taller person
Answer: ",No.
1,B,1,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: living things drinking
Answer: No.

Example 2:
Image: <image>
Caption: there are more skiers than snowboarders
Answer: Yes.

Example 3:
Image: <image>
Caption: seat numbers increasing from left to right
Answer: No.

Example 4:
Image: <image>
Caption: people fall on the leaves
Answer: Yes.

Example 5:
Image: <image>
Caption: some plants surrounding a lightbulb
Answer: No.

Example 6:
Image: <image>
Caption: there's a phone on a map
Answer: Yes.

Example 7:
Image: <image>
Caption: an adult is reading to their young child
Answer: No.

Example 8:
Image: <image>
Caption: someone is in a helicopter with a car
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: the taller person hugs the shorter person
Answer: ",Yes.
1,B,2,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: living things drinking
Answer: No.

Example 2:
Image: <image>
Caption: there are more skiers than snowboarders
Answer: Yes.

Example 3:
Image: <image>
Caption: seat numbers increasing from left to right
Answer: No.

Example 4:
Image: <image>
Caption: people fall on the leaves
Answer: Yes.

Example 5:
Image: <image>
Caption: some plants surrounding a lightbulb
Answer: No.

Example 6:
Image: <image>
Caption: there's a phone on a map
Answer: Yes.

Example 7:
Image: <image>
Caption: an adult is reading to their young child
Answer: No.

Example 8:
Image: <image>
Caption: someone is in a helicopter with a car
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: the shorter person hugs the taller person
Answer: ",No.
2,A,1,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: a horse getting wet
Answer: No.

Example 2:
Image: <image>
Caption: left is red and right is blue
Answer: Yes.

Example 3:
Image: <image>
Caption: a person is touching the head of a squirrel
Answer: No.

Example 4:
Image: <image>
Caption: they are using no bait but still got fish
Answer: Yes.

Example 5:
Image: <image>
Caption: there are three people and two windows
Answer: No.

Example 6:
Image: <image>
Caption: someone babys a pet
Answer: Yes.

Example 7:
Image: <image>
Caption: the shopping basket is full and the shelves on the person's right are empty
Answer: No.

Example 8:
Image: <image>
Caption: person overboard
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: the masked wrestler hits the unmasked wrestler
Answer: ",Yes.
2,A,2,"Below are examples of evaluating image-caption consistency:

Example 1:
Image: <image>
Caption: a horse getting wet
Answer: No.

Example 2:
Image: <image>
Caption: left is red and right is blue
Answer: Yes.

Example 3:
Image: <image>
Caption: a person is touching the head of a squirrel
Answer: No.

Example 4:
Image: <image>
Caption: they are using no bait but still got fish
Answer: Yes.

Example 5:
Image: <image>
Caption: there are three people and two windows
Answer: No.

Example 6:
Image: <image>
Caption: someone babys a pet
Answer: Yes.

Example 7:
Image: <image>
Caption: the shopping basket is full and the shelves on the person's right are empty
Answer: No.

Example 8:
Image: <image>
Caption: person overboard
Answer: Yes.

Now, evaluate this:
Image: <image>
Caption: the unmasked wrestler hits the masked wrestler
Answer: ",Yes.
